Claim,Item page URL,Status,Created by,Submitted at,Social Media Posted at,Report Published at,Number of media,Tags,Red Social,Formato,¿Ataca a un candidato?,¿A qué candidato?,¿Ataca al TSE o al proceso electoral?,¿Qué narrativa se utiliza para atacar al TSE o al proceso electoral?,Señale qué narrativa de desinformación se utiliza,¿Fue creado con IA?,¿Imita a un medio de comunicación?,¿A qué medio?,Es caso es:,¿Qué tipo de rumor es?,El rumor que se promueve es:,Reacciones,Comentarios,Compartidos,Visualizaciones
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408510,SinEmpezar,Choque Gutierrez Danitza,2025-08-16 01:47:53,2025-08-11 12:51:31,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408407,SinEmpezar,davilamorelia02,2025-08-15 21:43:00,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408406,SinEmpezar,davilamorelia02,2025-08-15 21:40:38,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408399,SinEmpezar,davilamorelia02,2025-08-15 21:19:55,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408364,SinEmpezar,davilamorelia02,2025-08-15 20:07:59,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 227 08/2025 Manfred roba en obras,https://checkmedia.org/chequeabolivia-verificaciones/media/3408189,Inchequeable,davilamorelia02,2025-08-15 15:33:49,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Manfred Reyes Villa,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,407,55,353,16300
Caso 225 08/2025 El voto nulo ganará con el 70%,https://checkmedia.org/chequeabolivia-verificaciones/media/3408188,Inchequeable,davilamorelia02,2025-08-15 15:31:35,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Promueve la campaña del voto nulo,510,5,50,8712
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408137,Inchequeable,yirleyngabrielm,2025-08-15 14:06:53,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408135,Inchequeable,yirleyngabrielm,2025-08-15 14:04:08,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408133,Inchequeable,yirleyngabrielm,2025-08-15 14:02:03,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 227 08/2025 Audio filtrado de Andrónico,https://checkmedia.org/chequeabolivia-verificaciones/media/3408128,Inchequeable,davilamorelia02,2025-08-15 13:54:47,,,1,DesinfoElecciones2025,TikTok,Audiovisual,No,,No,,,No,No,,Desinformación,,,983,61,268,64800
Caso 227 08/2025 Reclusos de Chonchocoro denuncian privilegios de Luis Fernando Camacho en la cárcel.,https://checkmedia.org/chequeabolivia-verificaciones/media/3408122,Inchequeable,valoguz,2025-08-15 13:48:34,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,,977,64,81,85500
Caso 226 08/2025 ¿Seguimos creyendo en las encuestas?,https://checkmedia.org/chequeabolivia-verificaciones/media/3408106,Inchequeable,valoguz,2025-08-15 13:31:35,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Tendencias de Intención de voto,1858,232,491,63400
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408105,Inchequeable,davilamorelia02,2025-08-15 13:30:51,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 223 08/2025 Hay fraude porque los funcionarios públicos están siendo obligados a votar por sus candidatos e instruyen a  decir que los jurados no les permiten ingresar con celulares,https://checkmedia.org/chequeabolivia-verificaciones/media/3408101,Inchequeable,Lucas David Illanes Flores,2025-08-15 13:20:16,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,Se está armando un fraude electoral,5310,619,3305,116600
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408099,In Progress,Lucas David Illanes Flores,2025-08-15 13:18:45,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 221 08/2025 Jimena Costa dijo que 500 mil venezolanos están cruzando la frontera,https://checkmedia.org/chequeabolivia-verificaciones/media/3408098,Inchequeable,Lucas David Illanes Flores,2025-08-15 13:18:02,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de deseo,,730,49,269,14400
Caso 220 08/2025 Luis Arce prepara un golpe de estado porque cambió al alto mando militar,https://checkmedia.org/chequeabolivia-verificaciones/media/3408094,Inchequeable,Lucas David Illanes Flores,2025-08-15 13:15:37,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de miedo,Se está armando un fraude electoral,36700,1474,12600,598500
Caso 219 08/2025 Luis Arce habló de un alzamiento armado,https://checkmedia.org/chequeabolivia-verificaciones/media/3408093,Inchequeable,Lucas David Illanes Flores,2025-08-15 13:14:30,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de miedo,,2392,222,410,91900
Caso 218 08/2025 El presidente cambió el alto militar para asegurar su salida del país,https://checkmedia.org/chequeabolivia-verificaciones/media/3408089,Inchequeable,Lucas David Illanes Flores,2025-08-15 13:06:22,,,1,ContenidoElecciones2025,TikTok,Audiovisual,No,,No,,,No,,,Rumor,Rumor de miedo,,5544,366,1050,235900
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408087,In Progress,Lucas David Illanes Flores,2025-08-15 13:03:52,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408085,In Progress,Lucas David Illanes Flores,2025-08-15 13:02:58,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 215 08/2025 Video de Tiktok asegura que existe un consorcio con respecto al tema del litio.,https://checkmedia.org/chequeabolivia-verificaciones/media/3408062,Inchequeable,Carla Acarapi Condori,2025-08-15 12:21:46,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Samuel Doria Medina,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,2482,591,822,35000
"Es falso que la primera encuesta de Unitel da como ganador a Rodrigo Paz con 33,1%",https://checkmedia.org/chequeabolivia-verificaciones/media/3408061,False,Carla Acarapi Condori,2025-08-15 12:20:07,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Esta imagen no muestra a una delegación de Venezuela que llegó a Bolivia para un “fraude electoral”,https://checkmedia.org/chequeabolivia-verificaciones/media/3408058,False,Carla Acarapi Condori,2025-08-15 12:16:26,2025-08-05 20:27:57,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
,https://checkmedia.org/chequeabolivia-verificaciones/media/3408047,Inchequeable,Carla Acarapi Condori,2025-08-15 12:10:40,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Es falso que el padrón electoral tenga un millón de votantes más que los datos del Censo 2024,https://checkmedia.org/chequeabolivia-verificaciones/media/3408044,False,Carla Acarapi Condori,2025-08-15 12:07:35,2025-08-09 12:47:37,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
Caso 177 08/2025 Publicación de X motiva a desconfiar de la encuesta realizada por el Deber.,https://checkmedia.org/chequeabolivia-verificaciones/media/3408035,Inchequeable,Carla Acarapi Condori,2025-08-15 12:03:00,2025-08-07 23:09:08,,1,ContenidoElecciones2025,X (Twitter),Texto,No,,No,,,No,,,Rumor,Rumor de deseo,,196,26,62,40200
Caso 214 08/25 Publicación engañosa que manifiesta que el jefe de campaña de Tuto dijo que NO van a meter preso a Evo Morales,https://checkmedia.org/chequeabolivia-verificaciones/media/3407766,Inchequeable,Claudia Carol Flores Apaza,2025-08-15 04:30:55,,,1,ContenidoElecciones2025,TikTok,Audiovisual,Sí,Jorge Quiroga,No,,,No,,,Rumor,Rumor de miedo,Ataques a candidatos,418,39,109,53500
,https://checkmedia.org/chequeabolivia-verificaciones/media/3407764,Inchequeable,Claudia Carol Flores Apaza,2025-08-15 04:18:34,,,1,DesinfoElecciones2025,,,,,,,,,,,,,,,,,
