Campos,Valores,Condicional
Claim,,
Item page URL,,
Status,,
Created by,,
Submitted at,,
Social Media Posted at,,
Report Published at,,
Number of media,,
Tags,,
Red Social,,
Formato,,
¿Fue creado con IA?,,
¿Ataca a un candidato?,,
¿A qué candidato?,,
¿Ataca al TSE o al proceso electoral?,,
¿Qué narrativa se utiliza para atacar al TSE o al proceso electoral?,,
Es caso es:,Desinformación|Rumor,
Señale qué narrativa de desinformación se utiliza,,Se activa cuando se ha elegido Desinformación
¿Imita a un medio de comunicación?,,Se activa cuando se ha elegido Desinformación
¿A qué medio?,,Se activa cuando se ha elegido Desinformación
¿Qué tipo de rumor es?,,Se activa cuando se ha elegido Rumor
El rumor que se promueve es:,,Se activa cuando se ha elegido Rumor
Reacciones,,
Comentarios,,
Compartidos,,
Visualizaciones,,
